model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,cv_f1
Decision Tree,0.7236614853195165,0.7242872840233753,0.6382978723404256,0.7275320970042796,0.68,0.772701298200585,0.6911533615617875
KNN,0.7443868739205527,0.726439476974427,0.7036450079239303,0.6333808844507846,0.6666666666666666,0.8028485230696357,0.6521320754887221
